rectangles,time_prep,time_answer,time_total,alg
1,2.2029998945072293e-06,0.08153571799994097,0.08153792099983548,lin
2,1.0330004442948848e-06,0.07948754800054303,0.07948858100098732,lin
4,1.4050001482246444e-06,0.09722614000020258,0.0972275450003508,lin
8,1.0020012268796563e-06,0.1284272239990969,0.12842822600032378,lin
16,1.0540006769588217e-06,0.1994144870004675,0.19941554100114445,lin
32,2.0660008885897696e-06,0.35493344900169177,0.35493551500258036,lin
64,9.970008250093088e-07,0.6308305749989813,0.6308315719998063,lin
128,1.184000211651437e-06,1.60751528199944,1.6075164659996517,lin
256,3.1140007195062935e-06,2.970394843001486,2.9703979570022057,lin
512,2.5219997041858733e-06,6.419318598000245,6.41932111999995,lin
1024,1.5900004655122757e-06,9.956675109000571,9.956676699001036,lin
2048,3.031000233022496e-06,22.210140526000032,22.210143557000265,lin
4096,1.844200050982181e-05,45.86440240200136,45.86442084400187,lin
1,8.069600153248757e-05,0.14582821800104284,0.14590891400257533,map
2,0.0001539410004625097,0.3015040600002976,0.3016580010007601,map
4,0.00016331500046362635,0.18344006299957982,0.18360337800004345,map
8,0.00019519399938872084,0.13479555800040544,0.13499075199979416,map
16,0.0009647499991842778,0.15571182500025316,0.15667657499943743,map
32,0.007941111000036472,0.14379897999970126,0.15174009099973773,map
64,0.0806596990005346,0.16560747299990908,0.24626717200044368,map
128,0.4959614319996035,0.1709607880002295,0.666922219999833,map
256,5.150749058999281,0.15892897600133438,5.309678035000616,map
512,46.12398882300113,0.22326252099992416,46.34725134400105,map
1,0.00011754499973903876,0.11535939700115705,0.11547694200089609,tree
2,0.00010883299910346977,0.13214792699909594,0.1322567599981994,tree
4,0.00028941900018253364,0.18973310200090054,0.19002252100108308,tree
8,0.00029661000007763505,0.14682174399968062,0.14711835399975826,tree
16,0.0006128080003691139,0.14760418600053526,0.14821699400090438,tree
32,0.0013540620002459036,0.17657467199933308,0.17792873399957898,tree
64,0.005399360001320019,0.2338969360007468,0.2392962960020668,tree
128,0.008187760000510025,0.2253626029996667,0.23355036300017673,tree
256,0.023476243999539292,0.2935390950005967,0.317015339000136,tree
512,0.09236109399898851,0.26901448799981154,0.36137558199880004,tree
1024,0.17549514999882376,0.2429280430005747,0.41842319299939845,tree
2048,0.6065422239989857,0.2421475979990646,0.8486898219980503,tree
4096,2.2053796960008185,0.3400297930002125,2.545409489001031,tree
